Name,Rating,Pricing,URL,Latitude,Longitude,Transactions,Location,Phone,Display Phone,Distance,Reviews,Review Count,Cuisine,Restaurant ID,Number of Reviews
ARIARI,5,,https://www.yelp.com/biz/ariari-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.727283504010266,-73.9858313,[],"119 1st Ave, New York, NY 10003",+16464227466,(646) 422-7466,2301.8080642945756,"[{'text': ""As a Korean person, I can confidently say that Ariari is one of the best, if not the best, Korean restaurants in NYC. Although some may argue it's pricey..."", 'reviewer': 'esther h.', 'reviewer_id': 'b5qg4CHJPwBjQ8d4m5w6oQ', 'rating': 5}, {'text': 'THIS PLACE IS AMAZING. Great service, kind staff, amazing food. The drinks are delicious as well as the  dishes. 10/10 recommend. You MUST try the corn...', 'reviewer': 'Amy J.', 'reviewer_id': 'pZmMNfQ85FvLiKJ-UgWY0A', 'rating': 5}, {'text': 'So so freaking good. As two we got the yuk hwe, fried soft shell crab, the uni cream bibimbap, and the salmon hwe soba. \n\nThe yuk hwe was probably one of...', 'reviewer': 'Jen L.', 'reviewer_id': 'ws8Y1fFTgEng2JIXqmJIcA', 'rating': 5}]",3,"K, o, r, e, a, n",nMyot99PkX5iYCdxHoRJqQ,88
8282,5,,https://www.yelp.com/biz/8282-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.72161,-73.98875,[],"84 Stanton St, New York, NY 10002",+19298370360,(929) 837-0360,1804.1058291706063,"[{'text': 'This place was so FIREEEEE . Came with the hubby for dinner. Seemed pretty easy to get a res for a Sunday night. The decor was pretty chill, low key vibes....', 'reviewer': 'Shouli T.', 'reviewer_id': 'n8TgUTVW8J6oZNYEKar0fA', 'rating': 5}, {'text': 'Wow the flavors and textures, so good! This restaurant is quite popular so snagging a reservation on a weekend was pretty difficult; ended up with a 9:30...', 'reviewer': 'Mike Z.', 'reviewer_id': '2is-VOUj68KdySsQCGWQkg', 'rating': 5}, {'text': 'I DO NOT UNDERSTAND HOW THESE DISHES TASTED SO AMAZING. \n\nI swear this is by far the best place for Korean pork or steak. Unreal. Everything had amazing...', 'reviewer': 'K. R.', 'reviewer_id': 'jfC_Q9DHRYVN-JKkr2genQ', 'rating': 5}]",3,"K, o, r, e, a, n",fNKYBpQJivICm0ORb3nb_Q,142
Crab House All You Can Eat Seafood,5,$$$$,https://www.yelp.com/biz/crab-house-all-you-can-eat-seafood-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.759664,-73.969776,"['delivery', 'pickup']","135 E 55th St, New York, NY 10022",+12129330264,(212) 933-0264,5884.448724264464,"[{'text': 'Great place wonderful vibes and the food is really really good!!!!! The service is very welcoming! I came here for my birthday last year and back again...', 'reviewer': 'Ondrena D.', 'reviewer_id': 'urc9T0-H6ulwS1NjFtjBoQ', 'rating': 5}, {'text': 'Food is amazing!!!Best seafood buffet ever!!!!10 out of 10  ilove everything....esp the crabs and shrimps!!!', 'reviewer': 'Imeh Z.', 'reviewer_id': 'saLZzI9Neiq90LGfASlyZA', 'rating': 5}, {'text': 'This restaurant has an inviting and laidback ambience. We had great servers who were polite and accommodating.', 'reviewer': 'Jairus M.', 'reviewer_id': 'JFLvquFB_Gln3FivI4ok3Q', 'rating': 5}]",3,"B, u, f, f, e, t, s",YvWQMlMjtYmVmheH97tTlQ,743
Soothr,4,$$,https://www.yelp.com/biz/soothr-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.732259,-73.987363,"['delivery', 'pickup']","204 E 13th St, New York, NY 10003",+12128449789,(212) 844-9789,2873.906436463616,"[{'text': 'I recently had the pleasure of dining at Soothr, a Thai restaurant, and I was blown away by my experience. My friends and I decided to check it out on a...', 'reviewer': 'Emily C.', 'reviewer_id': 'MhlmNxpoG6mhu1pjcuuCxg', 'rating': 5}, {'text': 'Finally got to come out and try the famous Soothr! Service was insanely fast and efficient. They even open the chopsticks for you presumably to not waste...', 'reviewer': 'Jen L.', 'reviewer_id': 'ws8Y1fFTgEng2JIXqmJIcA', 'rating': 4}, {'text': 'Honestly I was so excited to try eating here; I have heard so much about this place! My friend and I were lucky to find a time slot on Resy and we seized...', 'reviewer': 'Janani S.', 'reviewer_id': 'kafCDEsKXJmDNYN8XJ6PaQ', 'rating': 4}]",3,"T, h, a, i",-XYp6w50XbZfS90YddS5ew,945
Wah Fung No 1,5,$,https://www.yelp.com/biz/wah-fung-no-1-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.71735,-73.99457,['delivery'],"79 Chrystie St, New York, NY 10002",+12129255175,(212) 925-5175,1730.5667980140424,"[{'text': ""I went here today after my college class. \nYou have to wait in line for about 10 to 15 minutes because there's so many people waiting to go but the line..."", 'reviewer': 'Izzy C.', 'reviewer_id': 'I9zu0oML0zCql-KICZUmBw', 'rating': 5}, {'text': ""Probably one of the BEST bbq pork rice bowls I've ever had and it's only $5.50?!?!? Insane prices and generous portions and some of the tastiest food out..."", 'reviewer': 'Natalie C.', 'reviewer_id': 'gQKPVznYko1RGmOASpOXfQ', 'rating': 5}, {'text': 'Oh Wah Fung, my true love,\nHow could you be this far. \n\nI travelled across the country,\nTo see you raise the bar. \n\n$5 chicken and duck,\nOver the bed of...', 'reviewer': 'Shirley Z.', 'reviewer_id': 'hBd56MQzx6Q9L2FurGuQ3w', 'rating': 5}]",3,"F, a, s, t,  , F, o, o, d",X8ZS-dgiMIJvhwf9SaDnjw,1993
Juliana's,5,$$,https://www.yelp.com/biz/julianas-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.70274718768062,-73.99343490196397,['delivery'],"19 Old Fulton St, Brooklyn, NY 11201",+17185966700,(718) 596-6700,1322.2619393260577,"[{'text': 'Has a great rep for a reason! We were in line for the afternoon opening. Our food took longer than a few tables that were seated after us. \nOtherwise,...', 'reviewer': 'Sam B.', 'reviewer_id': 'hjXQJ96k7snrtbETZjmHsg', 'rating': 5}, {'text': ""If you are looking for a very good coal fired pizza Juliana's is a good choice. You may have to wait for a table. We waited, in the rain, and I still think..."", 'reviewer': 'Jenna D.', 'reviewer_id': 'bS_-aSNcV3d9UYFrZio4xQ', 'rating': 4}, {'text': ""A local referred me to Julianna's. He said it is the best pizza in the city. I stopped by for dinner an hour before closing. I was seated right away and..."", 'reviewer': 'Mirrella B.', 'reviewer_id': 'UwvksEwpLdF3p76QFYl15w', 'rating': 5}]",3,"P, i, z, z, a",ysqgdbSrezXgVwER2kQWKA,2616
Lula Mae,4,,https://www.yelp.com/biz/lula-mae-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.69329,-73.96639,"['delivery', 'pickup']","472 Myrtle Ave, Brooklyn, NY 11205",,,1879.765152356407,"[{'text': 'My girlfriend and I came here last night for a date - really great experience - Fried chicken not to be missed, other favorites were the papaya salad and...', 'reviewer': 'Joshuah M.', 'reviewer_id': 'Dtsi3-6Qy8u6rLiZFnnyJg', 'rating': 5}, {'text': ""There's a dearth of Cambodian food in New York City. That said, Lula Mae does a great job of introducing Cambodian flavors to the neighborhood. My partner..."", 'reviewer': 'Soph N.', 'reviewer_id': 'rVwgZhpuqcyEdY__hIL4pQ', 'rating': 5}, {'text': 'Visited the newly opened Lula Mae for Vday and had a great experience. Its a nice combination of bar seating (8 or so seats) and restaurant seating (30 ish...', 'reviewer': 'Charles K.', 'reviewer_id': 'o44PiGdc2QVCSllaVTwFsg', 'rating': 4}]",3,"C, a, m, b, o, d, i, a, n",l5kvoGj9t3ZcR0Y3nQWcNw,8
Sobak,5,$$,https://www.yelp.com/biz/sobak-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.71497047687499,-73.99158544320115,[],"51B Canal St, New York, NY 10002",,,1369.4185392395839,"[{'text': 'Went with a healthy lunch today after my workout! Popped in and was able to try their signature Bibimbap- incredible flavor and so filling! Highly recommend...', 'reviewer': 'Sarah P.', 'reviewer_id': 'PQRrKlyxZ8mJponoP8MU5Q', 'rating': 5}, {'text': ""Although I'm sad that this new restaurant took over the old Perfect Taste, I'm glad to see that it's alive again. Still a literal hole in the wall, the..."", 'reviewer': 'Tony Y.', 'reviewer_id': 'FPv27CkYLodbfz3gj5Fnkg', 'rating': 5}, {'text': ""We came across this place totally by accident, but I'm so happy that we discovered Sobak. We ordered the bibimbap and the unagi don, both were absolutely..."", 'reviewer': 'Emily D.', 'reviewer_id': 'qgI1aCWuO9TdbqRMKQCNDA', 'rating': 5}]",3,"K, o, r, e, a, n",WUc3CA6S8OjH3kiqv3eFOA,15
Chalong,5,,https://www.yelp.com/biz/chalong-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.763924,-73.988883,"['delivery', 'pickup']","749 9th Ave, New York, NY 10019",+12124666456,(212) 466-6456,6361.524900550756,"[{'text': ""Very nice! Basically: great food, nice ambiance & decor, expensive soft drinks, and unexceptional service. The food is what you'll come for anyways.\n\nThe..."", 'reviewer': 'Robin Z.', 'reviewer_id': 'QgBT3p77Zwg6zxGeUfVm3Q', 'rating': 5}, {'text': ""I love Fish Cheeks and dislike Soothr, so Chalong could've gone very wrong or very right. Fortunately, they went very right.\n\nOf the apps, the Baerng Golae..."", 'reviewer': 'Josephine L.', 'reviewer_id': 's16-BUo-orUsELvMu5ocKg', 'rating': 4}, {'text': 'Ambiance (5/5): Super sleek on the inside, open, and fancy. \nService (4/5): We came during lunch hours and there were 4 parties during our whole experience...', 'reviewer': 'Steph W.', 'reviewer_id': 'gjzKWzc8ZPn5Aylf8TMfTg', 'rating': 5}]",3,"T, h, a, i",AHrU1F123QPdVPTCnsy_xA,76
Bad Roman,3,,https://www.yelp.com/biz/bad-roman-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.768494,-73.983072,[],"10 Columbus Cir, New York, NY 10019",,,6825.276821798189,"[{'text': 'Please just go now.\n\nLook up and around.\nGet the cocktails.\nAnd the babka.\nAnd the oysters.\nAnd the filet with the Cacio e Pepe raviolo.\nAnd the...', 'reviewer': 'Roma A.', 'reviewer_id': 'SDXEjglLoD8smudezlx6vQ', 'rating': 5}, {'text': 'Having been to Don Angie multiple times, I have to admit I had high expectations on Bad Roman. Came here for a girls night out, my friend lives close by so...', 'reviewer': 'Sammi K.', 'reviewer_id': 'pmaTm5FT8EDhZLY-LQ6GmQ', 'rating': 3}, {'text': 'In town for a couple days and was determined to get a reservation. Finally called Amex and they were able to get me a prime seating. The car dropped me off...', 'reviewer': 'CeCee S.', 'reviewer_id': 'kdYUtjDgGaGmrOLxvjPFnA', 'rating': 3}]",3,"A, m, e, r, i, c, a, n,  , (, N, e, w, )",5F9kZPnAleDYqCeCyvGJPA,59
Ichibantei,1,$$,https://www.yelp.com/biz/ichibantei-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.73063,-73.98275,"['delivery', 'pickup']","401 E 13th St, New York, NY 10009",+16463689755,(646) 368-9755,2617.846716398194,"[{'text': ""Came here unexpectedly when we couldn't decide on what to eat for a late lunch.\n\nWe ordered the karaage and oyaku don to share. It was a delicious, homey,..."", 'reviewer': 'Khrystine C.', 'reviewer_id': 'gb6BFthBorvUiwivvWAmiQ', 'rating': 4}, {'text': ""Okay, I wasn't sure what to expect from Ichibantei. It was late on a Sunday and I wanted something delicious and didn't want pizza/fast food/halal cart/big..."", 'reviewer': 'Katrina T.', 'reviewer_id': 'rFBzTPF6hDczl2Yq_UcjjQ', 'rating': 4}, {'text': 'I ordered today from door dash expecting it to be really juicy and tender and the portion I got was mostly the fatty pieces. I asked for medium rare and I...', 'reviewer': 'Mickie K.', 'reviewer_id': 'iybiAJB945fna9FQJa_zuQ', 'rating': 1}]",3,"J, a, p, a, n, e, s, e",kesYSgOJW5krU6L8n9qQ4Q,283
Celestine,3,$$$,https://www.yelp.com/biz/celestine-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.704676,-73.987975,['delivery'],"1 John St, Brooklyn, NY 11201",+17185225356,(718) 522-5356,815.408575103955,"[{'text': 'Came here with a reservation and sat outside (lunch). The ambiance really set the tone for how nice this restaurant was. Tucked away from the New York...', 'reviewer': 'Jose M.', 'reviewer_id': 'qooB6wgrXnqf4Gk-ipvyyw', 'rating': 5}, {'text': ""Came here on a Thursday night to celebrate a friends Birthday. The only thing I would ever come back is for the view... It's definitely a great view of the..."", 'reviewer': 'Yoona K.', 'reviewer_id': 'PZUV833B5n4QnB8scSNvXQ', 'rating': 3}, {'text': '- easy reservation process\n- environment was fun\n- people can come dressed laid back or dressed up\n- got a nice table next to the window, under the bridge...', 'reviewer': 'renje g.', 'reviewer_id': 'y94FS7iXvZp9QISUc0F__Q', 'rating': 3}]",3,"M, e, d, i, t, e, r, r, a, n, e, a, n",4aF0F8w7yXX9o5_QFky_ig,278
Amélie,3,$$$,https://www.yelp.com/biz/am%C3%A9lie-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.7327,-73.99766,"['delivery', 'pickup']","22 W 8th St, New York, NY 10011",+12125332962,(212) 533-2962,3236.3704901839824,"[{'text': 'I came here on a Friday evening for dinner. It was before 6pm so we got to enjoy happy hour. Your get a 3 wine flight for $13 which is an amazing deal. \nFor...', 'reviewer': 'Isabel J.', 'reviewer_id': 'dArzYnlZh0gBLjA6YkJeoQ', 'rating': 5}, {'text': ""Bonus points for french speaking staff without the price tag or pretense. Best French cuisine I've had in New York and my life so far.\n\nGot invited out to..."", 'reviewer': 'Haejin J.', 'reviewer_id': 'FoAOCDLDlrR5QllraAUD-w', 'rating': 4}, {'text': 'Food was decent for the restaurant menu. (3/5 stars)\nThe beef bourguignon was a little salty but flavor was there, perfect to dip the complimentary bread...', 'reviewer': 'Vincent T.', 'reviewer_id': 'bjGrzn1clN8nXt0pMpNzCw', 'rating': 3}]",3,"F, r, e, n, c, h",ETgJqJHV7BW6pIr9Ox74sA,2893
