Chloe K.,/user_details?userid=YvVgMUzdboi4yHy8xnuf5Q,"Los Angeles, CA",3/3/2023,5.0,"Edy and Josh are the BEST bartenders. We had a great time, drinks were amazing! Have gone twice now and will definitely be back"
Evan C.,/user_details?userid=wVKayV3u7nXTUVlaDLdNlA,"New York, NY",3/25/2023,5.0,"Good food, good service and good vibe. Drinks have some Chinese twists. Highly recommend!"
Cheng-En C.,/user_details?userid=xiYljz3C5k2elLAQpojwmg,"Lower East Side, New York, NY",3/25/2023,5.0,Food is great! I like how they present traditional chinese food in a new way! Highly recommend
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5.0,No comment
Elaine C.,/user_details?userid=QfyHMvAP5S3bDHR37zXEFQ,"New York, NY",4/7/2023,4.0,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3.0,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5.0,No comment
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4.0,No comment
Iris F.,/user_details?userid=qxqJRxvUAYZAjk0P7Rkgig,"New York, NY",3/21/2023,4.0,"Cool vibes/decor and great drinks! I opted for the bird's nest since the bartender said it tastes the least like alcohol compared to everything else on the whole menu lol. It was pretty good and very sweet, not one of the best drinks I've had but in general I liked how creative the drink menu was! Especially as a Chinese American recognizing a bunch of cultural references in the drink names, and the unique Chinese ingredients that are mixed into the drinks. In terms of food, I liked the truffle mushroom salad the most bc the flavors were on point. Pork belly was okay to me, I felt like the portions were way too small and could have been more tender. Crab fried rice was solid though!"
Selena L.,/user_details?userid=r1ipevFxLwXc5wGDzysCnw,"Berkeley, CA",2/23/2023,5.0,No comment
Arlene W.,/user_details?userid=LrLRacy1XKJcWn7TbAKyWA,"Manhattan, NY",12/22/2022,5.0,"When I saw that Erika Chou, owner of Wayla and Kimika, was opening a Thai restaurant, I had to make a reservation! It claims to be ""Old-Phuket style,"" blending local Thai and immigrant Chinese cooking, which resulted in delicious flavors I had never had before. The restaurant has a cozy upscale vibe, with gorgeous art deco chandeliers and velvet pillowed seating. We ordered the marinated spare ribs, duck salad, crab curry noodles, and wagyu thin rice noodles. All the dishes had complex, well-balanced flavors, but were on the smaller portion and pricier side. The crab curry was so rich and tasty, but much spicier than I expected - it was a masochistic experience where I was crying but couldn't stop myself from taking more bites. The coconut rice pudding was a refreshing dessert to finish off the meal. TL;DR don't come here expecting typical Thai food, come here for an experience!",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
James B.,/user_details?userid=gv40E0YGuOiuvZwojvC6KQ,"Bronx, NY",10/27/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Charles C.,/user_details?userid=U54By0tm3_R-Fyt9jaYI5g,"St. Petersburg, FL",1/4/2023,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Diana T.,/user_details?userid=UYt_QxysLskeEhEC1hPKVQ,"LITTLE NECK, NY",7/3/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Erica W.,/user_details?userid=AqAJ1JSGIqHWUswTs09daQ,"Delray Beach, FL",12/1/2022,4.0,We came here for drinks and it was awesome!! The pandan colada and Tom Numb were really unique and delicious drinks! The food looked amazing so I definitely want to come back and try it,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Shawn H.,/user_details?userid=ufco-sxD9Org0AMxagNgQw,"New York, NY",6/18/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Chloe K.,/user_details?userid=U1_zW4BXNuhUSSpNFcrMTA,"New York, NY",5/8/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Olivia S.,/user_details?userid=TV0V5o9M9iVZihUAzm0PIw,"New York, NY",5/30/2022,4.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Daniel S.,/user_details?userid=2pK_Gma1itO_hTOV_BW0xA,"New York, NY",5/3/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Regina X.,/user_details?userid=b_HW10Kj9BrdyBFQDKjqlw,"New York, NY",5/9/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Josue P.,/user_details?userid=uAiUOhdJT1LufRBFHgwddw,"Wallkill, NY",12/20/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mike C.,/user_details?userid=37cpUoM8hlkSQfReIEBd-Q,"Forest Hills, NY",5/4/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Su L.,/user_details?userid=m_phS1XYkGv2_kZd2gzjkw,"Los Angeles, CA",9/11/2022,4.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
CHRISTINE Z.,/user_details?userid=EF_kHLeMImwGoMvxaqsD8Q,"New York, NY",1/15/2023,5.0,"Amazing newcomer to the area! Mood lighting, yummy cocktails, and delicious well priced noodz. Lovely experience here. The food came out quickly and the menu consists of elevated takes on classic favorites plus some that are more difficult to find at your basic pad thai place (there's no pad thai on the menu). The appetizers were fantastic--shrimp tempura, short ribs and beef steamed buns were fantastic starters for our mains--the pad kee mao and beef broth noodles were great for a cold day, as was the ba mee pu moo yang (worth memorizing the name for), which has amazingly springy yellow noodles and comes with a side of broth to ease the chill of nyc winter.",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mariam M.,/user_details?userid=bji1zeZwm-pmHI23sD-e-w,"San Francisco Bay Area, CA",10/1/2022,5.0,"Literally the best Thai food I have ever tasted in my entire life!!!! I got the pad kee mao and it was DELICIOUS!!! It had the perfect amount of spice and everything just tasted so FRESH. The basil it was topped with was so crunchy. If I lived closer, I would have already gone back. However, when I'm in the area, I'll definitely stop by!! I recommend wan wan for sure!!!",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Aubrey V.,/user_details?userid=02XQqnhnMvJfNAh6pRD_Qg,"Philadelphia, PA",3/17/2023,5.0,"Having been to Wayla, I had a pretty good idea of what the vibe might be here, but this spot actually surpassed my expectations. Food was incredible and perfectly spicy. Saw Chinese Thai fusion dishes that I've never heard of before too which is always exciting! Good atmosphere and decor as well. Because it's a newer restaurant, it was easy to snag a res, but I imagine that soon this place will be packed every night.",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jessica L.,/user_details?userid=5Jyj4eHRlZHtyEWEgT764A,"New York, NY",9/26/2022,1.0,Came here with family to try. Everything was either too sweet or salty. Appetizer were okay. But the entree were where it failed. Never coming back here.,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Melissa Z.,/user_details?userid=mHNtArKcW30P0zaxDOxtng,"Arlington, VA",12/19/2022,4.0,"Came here for dinner on a Sunday and I felt everything was subpar. We got fried pork belly, spare ribs, steamed branzino, and duck broth and nothing to write home about. However, we all enjoyed our drinks and it was happy hour at the time which was a nice surprise - $4 off all of our cocktails",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amelia N.,/user_details?userid=qDTbnG72OpQAlAUqLp2LTw,"New York, NY",3/16/2023,5.0,"Not sure what the hype is for thai diner bc this place is way better and closeby! Creative flavorful dishes, good vibe, great /friendly service, boozy cocktails with thai ingredients",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tiffany W.,/user_details?userid=4CsSaSGBXeU831g6b6QR3g,"New York, NY",9/12/2022,3.0,"Came with a friend to grab dinner on a rainy day. The place is pretty spacious so getting a table wasn't too hard. They're still waiting on the liquor license so they only had non alcoholic drinks available. We tried the duck salad, fried pork belly, and the Guay Tiew Kua Gai (rice noodle with chicken). Overall, the felt like the food was okay, but the flavors and textures were a bit unexpected and didn't really work well together. The fried pork belly was heavy and a bit dry. The rice noodle and duck salad both had baked/fried kale that add a strange texture into the dishes. The chicken in the noodle dish was cooked nicely but the noodle to chicken ratio was off. We would have liked more noodles for a noodle dish.",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mahsa N.,/user_details?userid=BNPbolK_o-WK7oXv6iFxDA,"New York, NY",6/9/2022,4.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vicki C.,/user_details?userid=tgX19R_1SnLnPGjuuNu7vQ,"New York, NY",8/31/2022,3.0,"My favorite from this visit at @wanwan.nyc was definitely the crab cakes! They were super rich with the curry flavor, and brought me memories of my vacations in Thailand I personally liked it more straight up, but it was also really good with the pineapple sauce! A little bummed that the pot pie was sold out (at 1pm lol) so we didn't get to try it, because the pictures looked good~",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ishita S.,/user_details?userid=lOwJUKfKaonWL-VpUG_d5Q,"Philadelphia, PA",1/9/2023,5.0,"Some of the best Thai food I've had! I love pad kee mao and theirs is incredible. The service was polite and friendly, and the ambiance was lovely. Highly recommend.",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lana N.,/user_details?userid=ZOCLt4BW8dswEODb1ffkNw,"New York, NY",8/27/2022,5.0,"Have been enjoying dinner at Wan Wan a few times a month now, and it's even better than brunch! Service is great, and the dishes are super flavorful and unique. Highly recommend the Guay Tiew Kay Gai -- super tasty",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Albert K.,/user_details?userid=sILEA5_pp6-wrV2NOhcx0Q,"New York, NY",7/30/2022,4.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rebecca B.,/user_details?userid=yZ-BGJmeIV76SO9ZK4Tf_g,"Brooklyn, Brooklyn, NY",4/2/2023,5.0,"Recently visited Wan Wan. The food was excellent! Specifically, the Pad Kee Mao and Guay Tiew Nua. My friend and I both really enjoyed it. The staff was also lovely. We needed an accommodation, and they were understanding and helpful. Our server made great recommendations as well! Very cute spot, highly recommend!",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Julianne N.,/user_details?userid=T7P6UgNOQFETfh4MujjpYQ,"New York, NY",6/1/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Xavi D.,/user_details?userid=SrcC4ymVOirCbE7DEY6EBA,"Downtown, San Diego, CA",6/16/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Laura L.,/user_details?userid=bnKyr2f8Y_dQul5HXYWpow,"New York, NY",1/31/2023,2.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sara L.,/user_details?userid=yItEBOLZfn4npwS1JW3oYA,"Brooklyn, NY",7/7/2022,3.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Citlali A.,/user_details?userid=G-Eg4WO2K_PelqvpcSh87Q,"New York, NY",9/19/2022,4.0,"Happened upon this spot with some friends and they were able to seat us quickly-- I think we went during their soft launch. All the dishes were excellent, with a wonderful blend of textures to keep the mouth entertained. Pricing seemed reasonable and I'd definitley go back. Worth noting, when we went they did not serve any alcohol.",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Connor G.,/user_details?userid=__4_9zcgC1QxK-oj2ugiaA,"Sherman, CT",10/1/2022,5.0,"This is their best lower Manhattan restaurant I've been to in a long time! Unique menu, executed perfectly! Can't wait to come again , it is so worth it!",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ning Z.,/user_details?userid=EdmXmoy2CPeHgfSh4z9uYA,"Gallipolis, OH",3/18/2023,2.0,"We had Lobster noodle, shrimp fried rice and duck spring roll. The lobster was over cooked. Fried rice was mushy. The duck spring roll was tasty and the only thing that we liked.",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicole M.,/user_details?userid=gmxN1Li248_cBRjqU6O_UQ,"Hackensack, NJ",12/2/2022,5.0,"Before I get into the food, the service here is very cognizant and sensitive to gluten allergies. Many great dishes if you have a gluten allergy. Now the food did not disappoint. Everything from small plates to entrees was delicious. I suspect that their place will get booked in the future as more people hear about it. They are expanding downstairs too where you can host private parties.",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Maureen K.,/user_details?userid=_XfNp2yizQhS0OFLDvcleQ,"Mansfield, MA",11/26/2022,5.0,"Perfect! Food, service, cocktails, ambiance ... absolutely perfect. We tried every cocktail, quite a few appetizers, dinners... everything was paced well, spiced to perfection. Cozy cool perfect dining experience.",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
D W.,/user_details?userid=vWHNVF0NHAv5l9SfTGUtvQ,"Boonsboro, MD",11/23/2022,4.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
