Evan C.,/user_details?userid=wVKayV3u7nXTUVlaDLdNlA,"New York, NY",3/25/2023,5.0,"Good food, good service and good vibe. Drinks have some Chinese twists. Highly recommend!"
Claire B.,/user_details?userid=tzQHvBKzCHWXWUQ9xdO55A,"Madrid, Spain",4/1/2023,5.0,"10/10. Food, ambience, & drinks were all superb. We had the bird's nest to drink which was absolutely fantastic. Everyone should order the pork belly, yuzu shrimp, and crab fried rice."
Cheng-En C.,/user_details?userid=xiYljz3C5k2elLAQpojwmg,"Lower East Side, New York, NY",3/25/2023,5.0,Food is great! I like how they present traditional chinese food in a new way! Highly recommend
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5.0,No comment
Elaine C.,/user_details?userid=QfyHMvAP5S3bDHR37zXEFQ,"New York, NY",4/7/2023,4.0,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3.0,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5.0,No comment
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4.0,No comment
Sophia Z.,/user_details?userid=AVVRmRwJFsNDdLUvRy7oTQ,"Manhattan, New York, NY",4/14/2023,4.0,"Really cute Asian inspired speakeasy-esqué cocktail bar with some small bites. If you don't have a res, you will have to wait quite a while, so I would recommend that you make a res before coming. I got the HK Kong cocktail drink and it was quite sweet, with a hint of coffee. There was a bit of whipped cream on top and it tasted like a dessert liquor drink! Would recommend. The portion was a bit small but still very cute."
Tanya H.,/user_details?userid=EyxIGr0nzrPs-EwDYepymg,"New York, NY",4/14/2023,5.0,"Great ambience and interesting drinks. The Bird's Nest was very enjoyable, I liked the lollipop on top- it actually tasted like birds nest. Great place to chat with friends."
Carol W.,/user_details?userid=IPDv4r7RLWSISb2TAurPAA,"Boston, MA",3/5/2023,5.0,So glad they opened a forma here. Every pasta dish I've tried had been delicious. Favs are the shrimp scampi and Ragu. Comes with free bread. Fast service. Clean cozy space. Love the open kitchen.,https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alexis Andrew A.,/user_details?userid=7a4ZawIz7kMix_amLYMh5g,"San Francisco, CA",3/23/2023,5.0,Place is neat! friendly staff. They offer brunch Saturday and sundays! A must try Pork Skewers and their new item Pork sisig!,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dorothy Y.,/user_details?userid=TtV_gyu8vmuDz0S3fUlXig,"New York, NY",4/9/2023,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sarah P.,/user_details?userid=PQRrKlyxZ8mJponoP8MU5Q,"New York, NY",3/12/2023,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sean M.,/user_details?userid=xEds3QTyjjCIxnFEJCXCPg,"New York, NY",2/20/2023,3.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Barry J.,/user_details?userid=BwkPnIXGOL-t1uRJJDiqSQ,"Queens Village, NY",4/12/2023,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vicki C.,/user_details?userid=tgX19R_1SnLnPGjuuNu7vQ,"New York, NY",1/7/2023,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mandy K.,/user_details?userid=krziAgCMYW6suNxpBnABKw,"New York, NY",1/15/2023,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Andy L.,/user_details?userid=MOJBcjCHW-Kzbh53EscFBg,"New York, NY",12/31/2022,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kate S.,/user_details?userid=FqzpP2N7rf2er5f0OiubLg,"New York, NY",1/14/2023,5.0,"This is a really great little restaurant to get inexpensive dishes. I really enjoyed the vegan adobo, especially after putting some chili sauce on it. The coffee was good and woke me right up. The service was really nice and attentive. You can get plenty full and spend less than $20.",https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Louie S.,/user_details?userid=YOBbFr_xpQqOSeC_qrXVKA,"Astoria, Queens, NY",1/28/2023,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Daniel J.,/user_details?userid=wKwSrotTHEQn8YwQO6QyoA,"Long Island, NY",12/19/2022,5.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ken L.,/user_details?userid=Wq0xRuh2eecTrRx-kFtGtQ,"Brooklyn, NY",2/5/2023,1.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Hannah H.,/user_details?userid=GHoG4X4FY8D8L563zzPX5w,"VA, VA",1/27/2023,3.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Greg S.,/user_details?userid=Sh_tZqIfhWHdvbAQTf5ofQ,"Castro Valley, CA",1/10/2023,3.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Maria A.,/user_details?userid=kY55KoI6rwYpbSNOMVZdGQ,"New York, NY",1/31/2023,4.0,"Came here last weekend for a birthday party! We were in a private room called the ""board room"" and there were a lot of options for brunch; I almost couldn't decide. They do have bottomless drinks for $27 which is a bit expensive imo but there are a lot of options of cocktails to try. I would recommend not getting the mimosas, this is the first mimosa I've had with ice in it  the waitress was great and checked in on us, the drinks and food took a little while, but that's as expected with a big group. They have an interesting selection of beers too, as a bonus.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gabriella S.,/user_details?userid=gmoQqHowuSAOcvzBDk5IwA,"New York, NY",1/13/2023,3.0,"Went here for brunch, no complaints. It was a good place, nothing special. Online it said they had no reservations so I called to reserve a table and when we got there, we were the only ones in the entire restaurant (and service was still slow), so not a fan of that. But the food was good. Like I said, nothing special, but not bad by any means.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sarah R.,/user_details?userid=L-ONxxiLSPoTNi5K1y55yQ,"Ridgewood, NY",1/11/2023,5.0,Came here for an office holiday lunch. We were a group of 7 and were seated by the windows. Everyone got their own dishes - and there were just raves all around. Their zucchini fries were delicious.,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Meghan L.,/user_details?userid=YT4IpX3jDSVFswT4ZppC6Q,"New York, NY",3/2/2023,4.0,"Definitely a decent option for after work happy hour drinks or dinner, was easy to get a table, service was quick, inside is very spacious unlike some other FiDi happy hour options. Thought it was a bit pricey but really enjoyed my tacos!",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jessica G.,/user_details?userid=rOiIoerkjUHou_qltJq9wg,"Brooklyn, NY",11/12/2022,5.0,"I love it here! They also have another location as well, smaller but love it too! Happy hour is a must, they have beer, wine, cocktails and food! Bartenders are usually pretty good. Again, I love it here!",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nate T.,/user_details?userid=UhYJWD2K86h2rA07oPRq1A,"Bellflower, CA",10/30/2022,5.0,"I'm so glad I found this place by asking locals walking around what's open that has food and music. When I sat at the bar downstairs, I was greeted by Elizabeth and Victoria. These ladies were super awesome. From food recommendations and stirring up amazing old fashioned's I was extremely happy with letting them choose for me. The cheese curds!!! Just wow. The look and feel though a Halloween setting at this time, is exactly the way I want a whiskey bar to feel like. I'll be back here while I'm on my trip",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Patricia B.,/user_details?userid=mtsbBEor51ssFKskjHF7Zw,"Bridgeport, CT",1/23/2023,5.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Christine L.,/user_details?userid=tY-p0-m77hB0TXa3KsMYbw,"Springfield, VA",9/25/2022,5.0,"20/10 !!! This precious gem DESERVES more love for brunch like ok seriously. I am upset that this spot is overshadowed by the French brunch place next door. We were just looking for a spontaneous brunch place near Oculus, and stumbled upon this spot and seriously seriously was blown away. The whole menu looks great for brunch - had something for everyone I would say, but both my bf and I were eyeing the breakfast burrito and you can see from the pic how crazy big it is. And the taste was heavely - scrambled egg were fluffy and hot, the greens were awesome, potatoes were amazing. Still dreaming about these burritos whenever I want to have brunch now!",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alvin A.,/user_details?userid=kEnBlbw4U0NzUtCEjYBfmQ,"Honolulu, HI",12/31/2021,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
L R.,/user_details?userid=cc902-jiqQVtK-WroemIng,"Santa Monica, CA",4/5/2023,4.0,"Great happy hour until the bartender definitely lied and claimed she was ""out"" of a cocktail. How are you out of a cocktail that isn't batched? Just say you don't want to serve happy hour prices. Lol. Beyond that, I really enjoyed the food and drinks but stopping happy hour early? That's just tacky.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
David W.,/user_details?userid=XEdNbTcex0glA-iPN5XKGQ,"Manhattan, NY",3/17/2023,4.0,The food service and interior decor of the malt house was very nice. I would return again!,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dominique H.,/user_details?userid=fue4rfzs_blkugZHz4ck6Q,"New York, NY",4/8/2023,5.0,"best wings in Fidi for sure! the Brussels and nachos are a hit too! Absolutely love the staff, very welcoming! Definitely a vibe!",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Bushra H.,/user_details?userid=DY2YZKLuVEy8cpgaNpLsig,"Edison, NJ",10/20/2021,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Elisa H.,/user_details?userid=ExhcUTTcj_MBhZdFQT9KYg,"Brooklyn, NY",5/12/2022,3.0,"Very mediocre. Trufflely pasta was ok. Wings were large but ok too. Very commercial place that's big on bark, no bite. Service was excellent.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jalkah F.,/user_details?userid=hMgaNHQo_FKGMymMAZFrFw,"Virginia Beach, VA",8/2/2022,5.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ashka V.,/user_details?userid=C7FCPru2dZiL3XkZ0BxA5Q,"Jersey City, NJ",7/11/2021,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kara D.,/user_details?userid=Jxv0aaQYLyYm0HoCOPDE5Q,"New York, NY",1/15/2023,3.0,"It was a great find for a group brunch that also has a bottomless option. Super easy to get to the location and the menu accommodated a bunch of different dietary restrictions. That said, the food was purely ok. Between our group, we pretty much ordered everything on the brunch menu. I'm not sure I would go back unless I was stuck without a venue that could seat a group. I'm fairly certain there's always space there.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kelley M.,/user_details?userid=JTC3gEmvcrn66EHEXJzNyw,"Plano, IL",11/15/2022,5.0,We were in a group of 10 people and everybody raved about the service and food! Fun place! Definitely recommend!,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jewel S.,/user_details?userid=VrOW5BL9U_byv1zGZfHOFg,"Atlanta, GA",10/1/2022,5.0,This was an work spot that I used to go to pre-covid.  They have a great happy hour and some great wings.  The wings and chicken bites were my go to when I worked in the area.,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Arpana P.,/user_details?userid=JW9_5qFDPDfVVbhAL6ejQQ,"Iselin, NJ",12/12/2021,1.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
