Evan C.,/user_details?userid=wVKayV3u7nXTUVlaDLdNlA,"New York, NY",3/25/2023,5.0,"Good food, good service and good vibe. Drinks have some Chinese twists. Highly recommend!"
Claire B.,/user_details?userid=tzQHvBKzCHWXWUQ9xdO55A,"Madrid, Spain",4/1/2023,5.0,"10/10. Food, ambience, & drinks were all superb. We had the bird's nest to drink which was absolutely fantastic. Everyone should order the pork belly, yuzu shrimp, and crab fried rice."
Cheng-En C.,/user_details?userid=xiYljz3C5k2elLAQpojwmg,"Lower East Side, New York, NY",3/25/2023,5.0,Food is great! I like how they present traditional chinese food in a new way! Highly recommend
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5.0,No comment
Elaine C.,/user_details?userid=QfyHMvAP5S3bDHR37zXEFQ,"New York, NY",4/7/2023,4.0,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3.0,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5.0,No comment
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4.0,No comment
Sophia Z.,/user_details?userid=AVVRmRwJFsNDdLUvRy7oTQ,"Manhattan, New York, NY",4/14/2023,4.0,"Really cute Asian inspired speakeasy-esqué cocktail bar with some small bites. If you don't have a res, you will have to wait quite a while, so I would recommend that you make a res before coming. I got the HK Kong cocktail drink and it was quite sweet, with a hint of coffee. There was a bit of whipped cream on top and it tasted like a dessert liquor drink! Would recommend. The portion was a bit small but still very cute."
Tanya H.,/user_details?userid=EyxIGr0nzrPs-EwDYepymg,"New York, NY",4/14/2023,5.0,"Great ambience and interesting drinks. The Bird's Nest was very enjoyable, I liked the lollipop on top- it actually tasted like birds nest. Great place to chat with friends."
Miriam L.,/user_details?userid=owGBTOkT1WlaV2A9D98W6Q,"Orlando, FL",1/26/2023,5.0,"Visited during the first week they were open and it was an incredible experience. From the accommodation, to the service of the staff and management, and of course the amazing food and mocktails! As someone who doesn't drink, the mocktails were outstanding, not just simple syrup and sprite mixture which tells me everything on the menu is careful thought out. I had the pork belly guacamole, bone marrow, lobster soup, and the short rib al carbon, and I would order it all again. 10/10 experience. Will be visiting again soon! I wish I could remember the names of everyone who assisted my friend and I, but 2 staff member is Sandra and Isabella who have been incredible every time I've contacted for more reservations! Well done, Tán!",https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Victoria K.,/user_details?userid=-COfoE4X_uMGlZAERqNxjQ,"Manhattan, NY",12/19/2022,5.0,"Dining at Tán felt like a mini vacation away from cold NYC. We had the most exceptional all around experience there. The ambiance, food, and wait staff were all amazing. We highly recommend their lobster tacos, ceviche, and snapper. We will be back to try more dishes soon.",https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Crystal W.,/user_details?userid=vAly8D4HTn40rYeTVLLrnQ,"Chicago, IL",3/9/2023,2.0,"I was really excited to try this restaurant and overall, I was very disappointed. The ambiance was ok, the staff was kind, but not prepared for service, the food was very mediocre, but well presented and they don't have a liquor license. The Mocktails were not that great either. We ordered about 16 different dishes, to share amongst 5 people and only enjoyed the Short Rib (so amazing) and Jumbo Prawns. Everything else, I would rate about a 5. It wasn't the worst dining experience, but it was far from the best. Maybe I would return, when they get a liquor license, just to try the cocktails and to order the short rib again. But that's a very strong maybe. Hopefully they will improve, overtime.",https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Andy G.,/user_details?userid=DHQvdvKF-Ys7x0ybXXe7Aw,"Redondo Beach, CA",3/15/2023,5.0,"Food was exceptional! Easily my favorite Mexican restaurant in NYC. The guacamole and salsas are so flavorful and the corn tlayudas were a nice elevation to a traditional corn tortilla. The ambiance and decor are beautiful and make you feel transported out of the city. If the mocktails are any indication of what the future cocktails will entail, then we are in for a treat! There are endless options if you are gluten free. We were easily able to swap out the flour tortillas for flavorful corn tortillas on the lobster tacos.",https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sara M.,/user_details?userid=HEyFRAb-WJduUBpSYW34wA,"Elmhurst, Queens, NY",2/19/2023,5.0,"10/10!!!! Yes they don't have their liquor license just yet (which seems to be the only major complaint) I would first like to address that issue. Not only are they kind enough in advance with your reservation booking to tell you this but once we entered the restaurant they reiterated this and confirmed we were okie with this. Mind you, I'm here for the food not the drinks. We did order the mock tails and they were delicious! When they do get their liquor License, i know these drinks will be amazing because the attention to detail. Also, just want to add the ice they used is 10/10 love those small ice chips for drinks. Now to the food! Myself and 3 other ladies ordered a total of 4 starters: dozen oysters, guacamole with the crickets, the beets salad and the tuna tartar. The oysters were tasty they seem to be blue point (forgot to ask but based on size and flavor...) the guacamole was good;I would have loved a more spicer version but still great. Please note it doesn't automatically come with grasshoppers that's is an add on! The grasshoppers didn't add much of a change for the flavor just a slight crunch, don't knock it until your try it! For some, I heard the guacamole is of a smaller portion, if it is your only app then yes! However, if you are ordering multiple apps I believe it was enough for 4 or less to a table. The tuna tartar was amazing, so fresh, perfect size, chopped (not minced) the flavors were so tasty with the foam center. We ended our apps with the baby beets salad. Fresh, summer like flavors in the winter very spot on for  the ""Tulum"" based ambiance. For my main, I ordered the ""Red Snapper Mone Style"" wow wow wow. Yes the portion was on the smaller end (but I was content with apps already) but the flavors are bold and beautiful. Something, I have never tasted and there is no comparison! My friends ordered the following and rated their meals a 10/10: Red Snapper Tikin-Xic Style, Sea scallops, seafood enchiladas. So from all 4 meals the Mone Style and Seafood Scallops were of smaller portion as stated earlier but never lacked the tonality of flavors. For dessert please order the corn cake! I HAVE NEVER TASTED A CORN CAKE LIKE THAT. I've ordered Mexican corn cake before and thought somewhat of a cake was going to come out but no! This was something beyond; it's texture was of like a crème brûlée. The small ice cream with it add an extra depth when tried together or separate. Over all, I'm excited to come back and continuous try other items on the menu. The ambiance was beyond beautiful the staff was attentive and very kind. Monica if this ever gets back to you thank you for being such a sweet soul!",https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Darien M.,/user_details?userid=0CQKXHbL3DbEqK7YHh2sWQ,"Glendale, Queens, NY",2/26/2023,5.0,"No wonder this restaurant is booked up for the next 6 weeks. The staff here goes above and beyond to make your experience 5 stars. The food was delicious and beautifully prepared. They are still waiting on their liquor license, but it didn't even matter because their mocktails were so tasty! I cannot wait to come back here. It really feels like an evening out of NYC when you come here. Congrats on an amazing new restaurant!",https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ellen H.,/user_details?userid=p6fFpnnYQOLqh_dsMZAH1w,"North Plainfield, NJ",12/29/2022,5.0,"Really great food and service! The place is relatively new so the staff does their best to accommodate everyone. I loved the guacamole; it's a simple dish but great when you get it right. The ceviche and tuna tartar were good as well but the octopus was what sold me. Everything was creative and tasty and the corn cake dessert was unique and did not disappoint. I will admit it was a bit pricey but honestly, what new york restaurant isn't. They had mocktails and didn't serve alcohol because of their pending liquor license but I loved that since I don't drink! Would definitely come back again for a special occasion.",https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kerry L.,/user_details?userid=7hbCV617e_PYvLhCTk-_Cg,"Leawood, KS",2/10/2023,5.0,Literally feels like you are in Tulum - great food and super sweet staff. Not large portions for price.,https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
E B.,/user_details?userid=bCchHPHXIeC-OX8owlswWQ,"Beverly Hills, CA",2/9/2023,5.0,No comment,https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
M R.,/user_details?userid=5BPfTPh3uYaToLbnggRvCw,"Scottsdale, AZ",2/7/2023,4.0,"Finally a great vibe in midtown! Tulum vibes for sure. Beautiful place, delicious food, super attentive staff.  Because they're new and still figuring things out, there was a teeny bit of disorganization, but I'd definitely go back once they receive their liquor license. My only real gripe was that they pushed mocktails with the same prices as actual cocktails... no thank you. Great place for both dates and groups.",https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Shannon M.,/user_details?userid=FkGnRwrEVeuH5emH9vdbXA,"Morristown, NJ",3/31/2022,5.0,Wonderful happy hour spot! I had such a blast! The bartender was very knowledgeable and patient. Definitely my new happy hour spot in the city. The Burger is so delightful! Nice and juicy. Same with the Impossible Burger! The fries were on point! Check them out!,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Pjeter R.,/user_details?userid=jY8GnSOtX3sCVjfxfcDURQ,"Lower East Side, New York, NY",3/4/2023,5.0,Great service and the Food is unbelievable the Atmosphere is so amazing Pleasant Stuff and outstanding service,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Stephen L.,/user_details?userid=_uei-azt3lmVoGXwhiytGA,"New York, NY",8/30/2021,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vivian L.,/user_details?userid=Oth6rB5qQNS113ILZv3uIQ,"Gravesend, Brooklyn, NY",8/28/2021,5.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Andreas T.,/user_details?userid=rNBA9gvHXfLa5Tx8h1Vnnw,"New York, NY",6/4/2022,1.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kersten P.,/user_details?userid=cdr9DfCRdQp3pDWZakuAZw,"Venable, Charlottesville, VA",2/13/2023,3.0,Went in the evening and it was SUPER loud. Could barely hear the people at my table. The food was okay but not spectacular. I got the half chicken and it was good but nothing out of this world (3/5). Wouldn't go back back.,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
NIck S.,/user_details?userid=e7aTvvRupOo-RTPrZez9CQ,"Glen Burnie, MD",2/2/2023,4.0,"The eggplant parm benedict is mesmerizing, I'd have no issue ordering two of them solely for the taste. Get a reservation especially for game days, the community table isn't worth it. The sports vibe is energetic yet classy. The staff and service is nothing noticeably spectacular.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kati B.,/user_details?userid=WS3s0oAJBY6ct9m2B6gL4A,"New York, NY",3/26/2022,4.0,"Stopped in for drinks and to watch the games. There are only two TVs which made visibility tough but I always enjoy this bar for the vibe. It's not too crowded or rowdy as many other bars in the area and offers a great selection of food and drinks. It checks the box between sports bar and fancy restaurant, giving the best of both worlds",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jenn L.,/user_details?userid=OyetWwk8Gx46F36rirQ-Uw,"Tampa, FL",10/29/2020,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Betty E.,/user_details?userid=t-BgQMr9rZnQhuCe2vdRkA,"Brooklyn, NY",2/15/2022,5.0,"I came here on a Friday night with the girlfriends and it wasn't hard to get a reservation but the place was popping! We all agreed that this would be our new fave casual spot to grab dinner and drinks because the food was delish and the drinks weren't too pricey ($13$-15). We all loved the Mac n cheese & the nachos with steak added, the nachos were incredible!!! The portions were great and everything could be shared. For my entree, I got the branzino and I could go there every day to eat this meal - it was that good!",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Riley A.,/user_details?userid=nUvO9ghyAmQNTabRs09_ZA,"Naples, FL",9/29/2022,5.0,Delicious clam and toast!! Their new menu is to die for. Love the ambience and service. I know i'll be back to try the rosemary fries...,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tory C.,/user_details?userid=00g1rqzrzp45bQBu4XZLJw,"New York, NY",7/4/2021,4.0,"This restaurant is located on a busy street corner which I personally didn't mind-- despite sitting outside, the noise level wasn't bad. One critique was that the outdoor chairs were particularly uncomfortable. With that said, our waitress was exceptionally kind and helpful, snd the food was generally acceptable. The burgers were greasy (nothing special), but the kale salad was quite good. I'd say the salmon was a touch undercooked. You have to get the cast iron cookie if you eat here.. its easily the best thing on the menu!",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mr J.,/user_details?userid=8C61v6e7QOwZDPyp1yCR9A,"Southeast Portland, Portland, OR",8/5/2022,5.0,"Love this place. Friday night, sitting outside. Great social and food. Drinks, food, service in the city, can't beat it. Great night. We will be back.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lauren R.,/user_details?userid=YEA0Nqf_-AREAu1n905wCQ,"Brooklyn, NY",2/15/2020,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Elizabeth W.,/user_details?userid=ntLym4QBRLChiJ8JtlWdPg,"New York, NY",1/5/2020,5.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Hannah B.,/user_details?userid=UQkTNWxkmzY8y-Ynw3BeDg,"Ala Moana, Honolulu, HI",6/18/2022,3.0,"We loved their burgers and service! Great staff. Only giving a 3 star for their cookie skillet ( sorry haha)-- just want them to know it could be improved. It tasted very ""sandy"" rather than like a soft gooey cookie that I would have wanted (&most people expect). I'm sure it can be improved! Still recommended people go to this place for the other food!! :)",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mary D.,/user_details?userid=DeF2p4RaXG67dmQY4lE3uQ,"Warren, NJ",5/30/2022,5.0,Fish tacos were super yummy! Also got the spinach and kale croquettes and was soooo good will definitely have to go back to try some new things on the menu,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jenny J.,/user_details?userid=I8wfUISawvgxWQy9mbXTTQ,"New York, NY",2/21/2020,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Bill T.,/user_details?userid=wzyGNvArcpUjZauRWFrKHA,"New York, NY",7/1/2019,3.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Adam A.,/user_details?userid=Jx2fVaPv4QvcaE1LpEuGCw,"Las Vegas, NV",12/18/2021,5.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Emily B.,/user_details?userid=rZA2MEIyU1nLavvOuwc-Dg,"New York, NY",2/1/2022,5.0,GREAT spot for fun drinks with friends. Fun atmosphere and great menu and you can actually have a conversation with someone. Drinks were reasonably priced and the rosemary fries were delicious. Our waitress was also very attentive which was refreshing for nyc bars.,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kerry M.,/user_details?userid=kZYS6Gw-zqQclZT-TMWgpw,"Manhattan, NY",5/29/2021,1.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Thomas B.,/user_details?userid=QToWivJYigBwWFe9P_0lyA,"PECK SLIP, NY",7/24/2022,5.0,"The menu has a really nice variety. I've been for brunch and dinner and all the food I've tried has been great. Specialty cocktails are also awesome. The whole staff is relaxed, friendly, and always on top of things without feeling overbearing. I also love the ambiance. The size of the restaurant is pretty large for the neighborhood so you don't feel cramped. Outdoor seating is great along first street separated from foot traffic by a little sidewalk garden. I'm definitely turning into a regular here. The bar tender Ash is also so fun to chat and hang with while sitting at the bar.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tracy D.,/user_details?userid=KmUy2GX3OpGkS1LXOJ8tNg,"Merrick, NY",9/1/2018,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lucy M.,/user_details?userid=exPhuONOpfCptZ35Ur3bcQ,"Queens, NY",10/4/2018,2.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
B K.,/user_details?userid=qhgZdo03ksUXpCnt470U_w,"Barrington, RI",5/23/2022,5.0,Great food and service. Super fun spot menu has something for everyone. Totally recommend :)),https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
