Saddmun A.,/user_details?userid=5Ujzt9wasye05ZSxMgVhyA,"New York, NY",5/18/2017,4.0,No comment
Clari B.,/user_details?userid=LO_uLZ2ya4VC4JSXqzSFKA,"Brooklyn, NY",2/27/2022,1.0,One and done. With the amount of places that serve dim sum this is not worth another try. Ordered about five different dumplings and a duck appetizer. The duck was oily and the paper wrapping was hard to distinguish. The dumpling fillings were flavorful and definitely worthy of a bit of a yummy praise however the dumpling masa (dough) was so thick and on some so mushy it was unpleasant and inedible. Overall I'd say try any of the many other spots around. (Note: my eats were pre-covid times).,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Priyanka M.,/user_details?userid=rCJLUU5P8ndv2gBKEzX5Dw,"New York, NY",1/17/2022,5.0,"Ordered the dan dan noodles, duck wrap, and soup dumplings-- all absolutely delicious. Can't believe this place doesn't have a 5 star rating! Can't wait to try everything else.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicole L.,/user_details?userid=YfHI1VGOqQ45_67chdhBkg,"Fort Lauderdale, FL",11/19/2021,5.0,"I'm so glad I tried this place again. It's not somewhere I would dine in at, but the food is amazing. I can't get over how good the braised beef was. It was succulent and the flavor was perfect. The smashed cucumbers were also sooo good. I wanted more! I liked the option for Korean style multigrain rice. The duck roll is also awesome. It's super flavorful. I came back just for that. The chicken wings are very crisp fried Korean fried chicken style. My friend raved about the dumplings - he had pork and chive and chicken and cabbage. To me they seem standard. He couldn't tell which was which but was very happy and ate every drop. I do wish the dine in experience was better. It's definitely more of a takeout place. Oh and the customer service was great! I accidentally placed my online order to the Park Slope location, and when I called to cancel they transferred the order for me. They made it nice and easy for me, which I really appreciated. Will be back!",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nataliya O.,/user_details?userid=FAECsJM6cSX9pYlj8oCCyA,"New York, NY",2/1/2022,5.0,Great fresh food. They forgot to enter one of the dishes but it turned out fine because we were pretty full by dish #3. Would definitely go back again.,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Samir A.,/user_details?userid=lsJcUIk6invb0nsQeDQxNQ,"Somerville, MA",9/20/2022,5.0,"Fantastic spicy wontons, hot and sour soup, and duck wrap. Highly recommend late night takeout",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jessica G.,/user_details?userid=IVhYq3z7dFDFjtHgWjkaSw,"Manhattan, NY",3/30/2022,5.0,Everything was bomb. The Taiwanese fried chicken wrap was my favorite. Love that they're open later than most places these days.,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gera C.,/user_details?userid=omZEMy85NZsedNT0kg0wGA,"Brooklyn, NY",3/7/2022,5.0,Amazing food and the lady at the register is a Doll .. I love this place .. Williamsburg does have it all,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Javier M.,/user_details?userid=w--Yxpn1aM1L45-6wY-zdQ,"Brooklyn, NY",5/23/2021,5.0,"More like Mr WOW! The food is incredible. Just take a look at the picture attached to this review. If that isn't beautiful, idk what is then. I have to say that the meat was so tender, I could just bite it off with my mouth without using utensils. I do not recommend. Less so if you are on a date. But that tells you how good that was. Maybe the rice could have been more on point but everything else was delicious.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jessica W.,/user_details?userid=bwHKOfs4qScvV__Dc4dBIQ,"Brooklyn, Brooklyn, NY",1/31/2022,5.0,"The staff is so friendly. All the food is delicious and fresh, been there several times and it has always come out really fast. A great place to go, especially if you're gluten free, they cook many dishes with tamari and the staff is knowledgeable about many allergies.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mo O.,/user_details?userid=hWoMgdala2hMbzZm7fRsLQ,"Brooklyn, NY",2/17/2022,1.0,No comment,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mark D.,/user_details?userid=JlstZchKYN4isphLS90Hhg,"Brooklyn, NY",11/12/2021,1.0,"I guess this place is part of a chain. Basically Asian fast food. The menu looks good but we found most of it really awful. The fried calamari was so greasy. The Beijing Street noodles were awful, tasteless and gummy store bought noodles. The soup dumplings were edible, but still not recommended. The service is all plastic even if you sit at a table and order from a waiter. You can do so much better in this neighborhood! Vanessa's Dumplings is similar but WAY better. M/Shanghai has much better soup dumplings.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Chris K.,/user_details?userid=y3fwEDHwwKtFAYuCR2gZ0w,"Brooklyn, NY",9/30/2021,4.0,"Delivery soup dumplings are kind of a white whale and these are quite, quite good.  Cue XLB snobs saying they're not good... Yes, I know the holy grail of XLB is typically to get the thinnest skin possible, but I don't really care, and these are not too thick. Also, I'm not going to flushing or the Bao on St Marks every time I want a soup dumpling.  The crab and pork are delicious, get them. I wasn't a huge fan of the ""sandwich"" baos (including the duck others seem to like, it was glazed with too much soy/hoisin for me) or the non-soup dumplings. The best chicken dish is the sichuan (but it's not actually, it's American style kung pao/ sesame chicken with a different sauce, which is not very spicy and more sweet).  I'll try some of the other dishes, but it's called Mr Bao, so, like, I guess start with the baos right?",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nina P.,/user_details?userid=kg4XjXN5ypfeN6aUZrudhA,"Brooklyn, NY",8/21/2021,1.0,"I ordered fried rice, soup dumplings, a duck roll and shumai. Nothing tasted good. Lacking flavor. The rice was specially plane",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jazminda J.,/user_details?userid=hovxDi_uWrkAjRdndxh0fQ,"Staten Island, NY",4/17/2021,5.0,Food was amazing and filling. Sorry No pic I Was hungry. I ordered Pork Bao bun was fluffy and pork inside was juicy. I also got Taiwanese fried chicken bowl with vegetable fried rice & green beans delicious. Definitely check this spot out.,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Loren M.,/user_details?userid=ScAU5COFrKBVT5g9JT5_Kw,"Daly City, CA",3/20/2022,1.0,"Popped in on a whim cause the exterior looked promising. Dumplings were good and I would order the again. However, both the noodle dishes we got(the Dan Dan and Beijing) were flavorless, watery, and the meat was like chopped cat food. Would not return.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Valerie N.,/user_details?userid=MgnVJP_0BKH902mjV-WEDw,"RI, RI",6/27/2021,5.0,"This place had the BEST soup dumplings we have ever had.  The staff was very nice and they got our order together pretty quickly to-go.  We got those delicious soup dumplings and some shrimp fried rice.  Both were good (especially the soup dumplings - did I mention that?), and their soy sauce was also uniquely tasty.  It had a stronger vinegar taste, which we loved.  We don't typically pour soy sauce into our rice, but we dumped it all over.  Great spot, great food.. we look forward to coming back.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Adam T.,/user_details?userid=62QmGj1KEzTQxUbkHUcDyQ,"Miami, FL",7/7/2021,2.0,"Kinda disappointing. Nothing we ate was really that good except the duck wrap, which was good but greasy. Even the crab soup dumplings which seemed to be the thing to get were pretty meh. The noodles we got tasted like plain pasta and the memory of them is so bad I just took another star off my rating. 2/5 stars generally, 1/5 for the genre of food.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Carly G.,/user_details?userid=T8nacPu-EEmkS5RAv5A5hQ,"Brooklyn, New York, NY",8/14/2021,5.0,Cute shop with affordable dumplings! The pork soup dumplings were my absolute favorite! The steamed chicken dumplings were also amazing. Really big portion sizes as well. The bao buns were incredibly fluffy. Would recommend coming with a group so you can share! Come here for a more casual lunch and most important come very hungry.,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
